timestamp,camera,image_path,label_path,n_cows,datetime_cdt,split
1690271846,cam_1,data\raw\visual_data\images\0725\cam_1\1690271846_02-57-26.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271846_02-57-26.txt,6,2023-07-25 02:57:26,train
1690271861,cam_1,data\raw\visual_data\images\0725\cam_1\1690271861_02-57-41.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271861_02-57-41.txt,6,2023-07-25 02:57:41,train
1690271876,cam_1,data\raw\visual_data\images\0725\cam_1\1690271876_02-57-56.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271876_02-57-56.txt,6,2023-07-25 02:57:56,train
1690271891,cam_1,data\raw\visual_data\images\0725\cam_1\1690271891_02-58-11.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271891_02-58-11.txt,6,2023-07-25 02:58:11,train
1690271906,cam_1,data\raw\visual_data\images\0725\cam_1\1690271906_02-58-26.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271906_02-58-26.txt,6,2023-07-25 02:58:26,train
1690271921,cam_1,data\raw\visual_data\images\0725\cam_1\1690271921_02-58-41.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271921_02-58-41.txt,6,2023-07-25 02:58:41,train
1690271936,cam_1,data\raw\visual_data\images\0725\cam_1\1690271936_02-58-56.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271936_02-58-56.txt,6,2023-07-25 02:58:56,train
1690271951,cam_1,data\raw\visual_data\images\0725\cam_1\1690271951_02-59-11.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271951_02-59-11.txt,6,2023-07-25 02:59:11,train
1690271966,cam_1,data\raw\visual_data\images\0725\cam_1\1690271966_02-59-26.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271966_02-59-26.txt,6,2023-07-25 02:59:26,train
1690271981,cam_1,data\raw\visual_data\images\0725\cam_1\1690271981_02-59-41.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271981_02-59-41.txt,6,2023-07-25 02:59:41,train
1690271996,cam_1,data\raw\visual_data\images\0725\cam_1\1690271996_02-59-56.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690271996_02-59-56.txt,6,2023-07-25 02:59:56,train
1690272011,cam_1,data\raw\visual_data\images\0725\cam_1\1690272011_03-00-11.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690272011_03-00-11.txt,6,2023-07-25 03:00:11,train
1690272026,cam_1,data\raw\visual_data\images\0725\cam_1\1690272026_03-00-26.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690272026_03-00-26.txt,6,2023-07-25 03:00:26,train
1690272041,cam_1,data\raw\visual_data\images\0725\cam_1\1690272041_03-00-41.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690272041_03-00-41.txt,6,2023-07-25 03:00:41,train
1690272056,cam_1,data\raw\visual_data\images\0725\cam_1\1690272056_03-00-56.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690272056_03-00-56.txt,6,2023-07-25 03:00:56,train
1690272071,cam_1,data\raw\visual_data\images\0725\cam_1\1690272071_03-01-11.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690272071_03-01-11.txt,6,2023-07-25 03:01:11,train
1690272086,cam_1,data\raw\visual_data\images\0725\cam_1\1690272086_03-01-26.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690272086_03-01-26.txt,7,2023-07-25 03:01:26,train
1690272101,cam_1,data\raw\visual_data\images\0725\cam_1\1690272101_03-01-41.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690272101_03-01-41.txt,8,2023-07-25 03:01:41,train
1690272116,cam_1,data\raw\visual_data\images\0725\cam_1\1690272116_03-01-56.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690272116_03-01-56.txt,8,2023-07-25 03:01:56,train
1690272131,cam_1,data\raw\visual_data\images\0725\cam_1\1690272131_03-02-11.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690272131_03-02-11.txt,8,2023-07-25 03:02:11,train
1690272146,cam_1,data\raw\visual_data\images\0725\cam_1\1690272146_03-02-26.jpg,data\raw\visual_data\labels\combined\0725\cam_1\1690272146_03-02-26.txt,8,2023-07-25 03:02:26,train
